Config,Sequence,Precision,Recall,F1-score,AP@0.5,Success(AUC),FPS,CDR (%)
Full,phantom02,0.9689,0.9528,0.9608,0.9501,0.7541,199.5,95.28
Full,phantom04,0.4285,0.3816,0.4037,0.3857,0.327,136.27,38.16
Full,phantom05,0.2655,0.2374,0.2507,0.2376,0.2058,128.83,23.74
Full,phantom06,0.9054,0.8888,0.8971,0.8808,0.6963,320.27,88.88
Full,phantom08,0.5821,0.5102,0.5438,0.5149,0.407,84.71,48.43
Full,phantom09,0.8028,0.7633,0.7826,0.7624,0.6409,205.39,75.82
Full,phantom10,0.406,0.3626,0.3831,0.3663,0.3621,119.33,36.26
Full,phantom12,0.9694,0.9611,0.9652,0.9599,0.7952,282.8,93.33
Full,phantom13,0.968,0.981,0.9745,0.9795,0.7458,206.06,91.99
Full,phantom14,0.9879,0.9718,0.9798,0.9697,0.7595,340.07,97.18
Full,phantom16,0.9857,0.9798,0.9827,0.97,0.7638,192.2,91.72
Full,phantom19,0.2281,0.146,0.178,0.1584,0.1791,56.28,14.6
Full,phantom20,0.6896,0.624,0.6552,0.6335,0.5047,165.18,62.4
Full,phantom22,0.6455,0.6163,0.6306,0.6337,0.5127,245.38,61.63
Full,phantom23,0.9816,0.984,0.9828,0.9799,0.7951,314.52,96.47
Full,phantom28,0.9374,0.8674,0.901,0.8606,0.6908,187.15,86.74
Full,phantom29,0.9885,0.9733,0.9809,0.9699,0.761,194.17,91.21
Full,phantom30,0.9677,0.9406,0.954,0.9302,0.7324,296.18,94.06
Full,phantom32,0.882,0.8526,0.867,0.8515,0.6744,275.2,85.26
Full,phantom36,0.9013,0.8799,0.8905,0.8808,0.6528,292.18,87.99
Full,phantom38,0.5351,0.3587,0.4295,0.3663,0.3143,65.98,35.87
Full,phantom39,0.6725,0.5693,0.6166,0.5742,0.4543,137.5,56.93
Full,phantom40,0.9863,0.9702,0.9782,0.9602,0.7718,332.12,97.02
Full,phantom41,0.1638,0.1212,0.1393,0.1287,0.2157,71.66,12.12
Full,phantom42,0.9864,0.9804,0.9834,0.9698,0.7587,319.84,96.73
Full,phantom43,0.0605,0.0461,0.0523,0.0495,0.1107,78.1,4.61
Full,phantom44,0.829,0.7923,0.8102,0.7918,0.645,261.53,79.23
Full,phantom45,0.9169,0.8829,0.8995,0.8809,0.6395,288.67,88.29
Full,phantom46,0.1679,0.114,0.1358,0.1287,0.1944,75.28,11.4
Full,phantom47,0.9465,0.8985,0.9219,0.901,0.6964,187.59,87.08
Full,phantom49,0.8637,0.8728,0.8682,0.8713,0.6256,257.19,81.49
